ID,Location,Country,Flag,Time,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
417,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1995,15.393,1.513,316.071,18819.47
431,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1995,16.126,0.913,184.328,10694.53
473,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1995,16.305,1.3,200.21,2114.65
495,HUN,Hungary,https://flagicons.lipis.dev/flags/4x3/hu.svg,1995,26.713,1.802,164.765,1701.85
512,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1995,12.044,0.735,139.028,501.73
564,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1995,13.794,1.076,259.171,69.32
607,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1995,19.534,1.342,298.92,16991.9
623,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1995,21.039,1.322,309.164,38781.22
666,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1995,22.834,0.786,104.456,4710.23
725,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,1995,12.038,0.642,267.785,109.42
757,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1995,11.65,0.858,198.145,3063.12
820,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1995,9.514,0.692,168.181,733.13
865,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1995,14.775,1.027,183.84,675.32
920,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1995,24.275,1.748,251.235,2518.93
981,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1995,12.929,0.943,214.705,1895.19
2,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1996,13.106,0.924,215.606,3947.96
64,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,1996,9.839,0.876,214.418,1706.56
74,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1996,17.119,1.327,303.867,3086.27
113,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1996,14.578,1.219,292.026,8664.97
158,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1996,10.162,0.935,285.052,2015.84
192,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1996,27.665,1.56,226.75,2338.98
